Knockout Stage,Match Date,Match Time,Home Team Id,Home Team Name,Away Team Id,Away Team Name,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin
0,6/1/1978,15:00,T-83,West Germany,T-55,Poland,0,0,0,0
0,6/2/1978,13:45,T-39,Italy,T-28,France,2,1,1,-1
0,6/2/1978,16:45,T-76,Tunisia,T-44,Mexico,3,1,2,-2
0,6/2/1978,19:15,T-03,Argentina,T-34,Hungary,2,1,1,-1
0,6/3/1978,13:45,T-05,Austria,T-71,Spain,2,1,1,-1
0,6/3/1978,13:45,T-09,Brazil,T-72,Sweden,1,1,0,0
0,6/3/1978,16:45,T-46,Netherlands,T-36,Iran,3,0,3,-3
0,6/3/1978,16:45,T-54,Peru,T-62,Scotland,3,1,2,-2
0,6/6/1978,13:45,T-39,Italy,T-34,Hungary,3,1,2,-2
0,6/6/1978,16:45,T-55,Poland,T-76,Tunisia,1,0,1,-1
0,6/6/1978,16:45,T-83,West Germany,T-44,Mexico,6,0,6,-6
0,6/6/1978,19:15,T-03,Argentina,T-28,France,2,1,1,-1
0,6/7/1978,13:45,T-05,Austria,T-72,Sweden,1,0,1,-1
0,6/7/1978,13:45,T-09,Brazil,T-71,Spain,0,0,0,0
0,6/7/1978,16:45,T-46,Netherlands,T-54,Peru,0,0,0,0
0,6/7/1978,16:45,T-62,Scotland,T-36,Iran,1,1,0,0
0,6/10/1978,14:30,T-28,France,T-34,Hungary,3,1,2,-2
0,6/10/1978,16:45,T-55,Poland,T-44,Mexico,3,1,2,-2
0,6/10/1978,16:45,T-83,West Germany,T-76,Tunisia,0,0,0,0
0,6/10/1978,19:15,T-03,Argentina,T-39,Italy,0,1,-1,1
0,6/11/1978,13:45,T-09,Brazil,T-05,Austria,1,0,1,-1
0,6/11/1978,13:45,T-71,Spain,T-72,Sweden,1,0,1,-1
0,6/11/1978,16:45,T-54,Peru,T-36,Iran,4,1,3,-3
0,6/11/1978,16:45,T-62,Scotland,T-46,Netherlands,3,2,1,-1
0,6/14/1978,13:45,T-05,Austria,T-46,Netherlands,1,5,-4,4
0,6/14/1978,13:45,T-39,Italy,T-83,West Germany,0,0,0,0
0,6/14/1978,16:45,T-09,Brazil,T-54,Peru,3,0,3,-3
0,6/14/1978,19:15,T-03,Argentina,T-55,Poland,2,0,2,-2
0,6/18/1978,13:45,T-54,Peru,T-55,Poland,0,1,-1,1
0,6/18/1978,16:45,T-39,Italy,T-05,Austria,1,0,1,-1
0,6/18/1978,16:45,T-46,Netherlands,T-83,West Germany,2,2,0,0
0,6/18/1978,19:15,T-03,Argentina,T-09,Brazil,0,0,0,0
0,6/21/1978,13:45,T-05,Austria,T-83,West Germany,3,2,1,-1
0,6/21/1978,13:45,T-39,Italy,T-46,Netherlands,1,2,-1,1
0,6/21/1978,16:45,T-09,Brazil,T-55,Poland,3,1,2,-2
0,6/21/1978,19:15,T-03,Argentina,T-54,Peru,6,0,6,-6
1,6/24/1978,15:00,T-09,Brazil,T-39,Italy,2,1,1,-1
1,6/25/1978,15:00,T-03,Argentina,T-46,Netherlands,3,1,2,-2
0,6/13/1982,20:00,T-03,Argentina,T-06,Belgium,0,1,-1,1
0,6/14/1982,17:15,T-39,Italy,T-55,Poland,0,0,0,0
0,6/14/1982,21:00,T-09,Brazil,T-70,Soviet Union,2,1,1,-1
0,6/15/1982,17:15,T-54,Peru,T-11,Cameroon,0,0,0,0
0,6/15/1982,21:00,T-34,Hungary,T-26,El Salvador,10,1,9,-9
0,6/15/1982,21:00,T-62,Scotland,T-47,New Zealand,5,2,3,-3
0,6/16/1982,17:15,T-83,West Germany,T-01,Algeria,1,2,-1,1
0,6/16/1982,17:15,T-27,England,T-28,France,3,1,2,-2
0,6/16/1982,21:00,T-71,Spain,T-33,Honduras,1,1,0,0
0,6/17/1982,17:15,T-13,Chile,T-05,Austria,0,1,-1,1
0,6/17/1982,17:15,T-20,Czechoslovakia,T-43,Kuwait,1,1,0,0
0,6/17/1982,21:00,T-84,Yugoslavia,T-50,Northern Ireland,0,0,0,0
0,6/18/1982,17:15,T-39,Italy,T-54,Peru,1,1,0,0
0,6/18/1982,21:00,T-03,Argentina,T-34,Hungary,4,1,3,-3
0,6/18/1982,21:00,T-09,Brazil,T-62,Scotland,4,1,3,-3
0,6/19/1982,17:15,T-55,Poland,T-11,Cameroon,0,0,0,0
0,6/19/1982,21:00,T-06,Belgium,T-26,El Salvador,1,0,1,-1
0,6/19/1982,21:00,T-70,Soviet Union,T-47,New Zealand,3,0,3,-3
0,6/20/1982,17:15,T-83,West Germany,T-13,Chile,4,1,3,-3
0,6/20/1982,17:15,T-27,England,T-20,Czechoslovakia,2,0,2,-2
0,6/20/1982,21:00,T-71,Spain,T-84,Yugoslavia,2,1,1,-1
0,6/21/1982,17:15,T-01,Algeria,T-05,Austria,0,2,-2,2
0,6/21/1982,17:15,T-28,France,T-43,Kuwait,4,1,3,-3
0,6/21/1982,21:00,T-33,Honduras,T-50,Northern Ireland,1,1,0,0
0,6/22/1982,17:15,T-55,Poland,T-54,Peru,5,1,4,-4
0,6/22/1982,21:00,T-06,Belgium,T-34,Hungary,1,1,0,0
0,6/22/1982,21:00,T-70,Soviet Union,T-62,Scotland,2,2,0,0
0,6/23/1982,17:15,T-39,Italy,T-11,Cameroon,1,1,0,0
0,6/23/1982,21:00,T-03,Argentina,T-26,El Salvador,2,0,2,-2
0,6/23/1982,21:00,T-09,Brazil,T-47,New Zealand,4,0,4,-4
0,6/24/1982,17:15,T-01,Algeria,T-13,Chile,3,2,1,-1
0,6/24/1982,17:15,T-28,France,T-20,Czechoslovakia,1,1,0,0
0,6/24/1982,21:00,T-33,Honduras,T-84,Yugoslavia,0,1,-1,1
0,6/25/1982,17:15,T-83,West Germany,T-05,Austria,1,0,1,-1
0,6/25/1982,17:15,T-27,England,T-43,Kuwait,1,0,1,-1
0,6/25/1982,21:00,T-71,Spain,T-50,Northern Ireland,0,1,-1,1
0,6/28/1982,17:15,T-05,Austria,T-28,France,0,1,-1,1
0,6/28/1982,21:00,T-55,Poland,T-06,Belgium,3,0,3,-3
0,6/29/1982,17:15,T-39,Italy,T-03,Argentina,2,1,1,-1
0,6/29/1982,21:00,T-83,West Germany,T-27,England,0,0,0,0
0,7/1/1982,17:15,T-05,Austria,T-50,Northern Ireland,2,2,0,0
0,7/1/1982,21:00,T-06,Belgium,T-70,Soviet Union,0,1,-1,1
0,7/2/1982,17:15,T-03,Argentina,T-09,Brazil,1,3,-2,2
0,7/2/1982,21:00,T-83,West Germany,T-71,Spain,2,1,1,-1
0,7/4/1982,17:15,T-28,France,T-50,Northern Ireland,4,1,3,-3
0,7/4/1982,21:00,T-70,Soviet Union,T-55,Poland,0,0,0,0
0,7/5/1982,17:15,T-39,Italy,T-09,Brazil,3,2,1,-1
0,7/5/1982,21:00,T-71,Spain,T-27,England,0,0,0,0
1,7/8/1982,17:15,T-55,Poland,T-39,Italy,0,2,-2,2
1,7/8/1982,21:00,T-83,West Germany,T-28,France,3,3,0,0
1,7/10/1982,20:00,T-55,Poland,T-28,France,3,2,1,-1
1,7/11/1982,20:00,T-39,Italy,T-83,West Germany,3,1,2,-2
0,5/31/1986,12:00,T-10,Bulgaria,T-39,Italy,1,1,0,0
0,6/1/1986,12:00,T-71,Spain,T-09,Brazil,0,1,-1,1
0,6/1/1986,16:00,T-12,Canada,T-28,France,0,1,-1,1
0,6/2/1986,12:00,T-03,Argentina,T-69,South Korea,3,1,2,-2
0,6/2/1986,12:00,T-70,Soviet Union,T-34,Hungary,6,0,6,-6
0,6/2/1986,16:00,T-45,Morocco,T-55,Poland,0,0,0,0
0,6/3/1986,12:00,T-06,Belgium,T-44,Mexico,1,2,-1,1
0,6/3/1986,12:00,T-01,Algeria,T-50,Northern Ireland,1,1,0,0
0,6/3/1986,16:00,T-56,Portugal,T-27,England,1,0,1,-1
0,6/4/1986,12:00,T-53,Paraguay,T-37,Iraq,1,0,1,-1
0,6/4/1986,12:00,T-81,Uruguay,T-83,West Germany,1,1,0,0
0,6/4/1986,16:00,T-62,Scotland,T-21,Denmark,0,1,-1,1
0,6/5/1986,12:00,T-39,Italy,T-03,Argentina,1,1,0,0
0,6/5/1986,12:00,T-28,France,T-70,Soviet Union,1,1,0,0
0,6/5/1986,16:00,T-69,South Korea,T-10,Bulgaria,1,1,0,0
0,6/6/1986,12:00,T-34,Hungary,T-12,Canada,2,0,2,-2
0,6/6/1986,12:00,T-09,Brazil,T-01,Algeria,1,0,1,-1
0,6/6/1986,16:00,T-27,England,T-45,Morocco,0,0,0,0
0,6/7/1986,12:00,T-44,Mexico,T-53,Paraguay,1,1,0,0
0,6/7/1986,12:00,T-50,Northern Ireland,T-71,Spain,1,2,-1,1
0,6/7/1986,16:00,T-55,Poland,T-56,Portugal,1,0,1,-1
0,6/8/1986,12:00,T-37,Iraq,T-06,Belgium,1,2,-1,1
0,6/8/1986,12:00,T-83,West Germany,T-62,Scotland,2,1,1,-1
0,6/8/1986,16:00,T-21,Denmark,T-81,Uruguay,6,1,5,-5
